┌─────────┬───────┬───────┬───────────────┬───────────────┐
│  index    │   i    │  day   │      me          │      ref        │
├─────────┼───────┼───────┼───────────────┼───────────────┤
│    0      │  '1'   │  '1'   │ 1000.82192       │  1000.82192     │
│    1      │  '2'   │  '2'   │ 1001.64451555    │ 1001.64451555   │
│    2      │  '3'   │  '3'   │ 1002.46778721    │ 1002.46778721   │
│    3      │  '4'   │  '4'   │ 1003.29173553    │ 1003.29173553   │
│    4      │  '5'   │  '5'   │ 1004.11636107    │ 1004.11636107   │
│    5      │  '6'   │  '6'   │ 1004.94166439    │ 1004.94166439   │
│    6      │  '7'   │  '7'   │ 1005.76764604    │ 1005.76764604   │
│    7      │  '8'   │  '8'   │ 1006.59430658    │ 1006.59430658   │
│    8      │  '9'   │  '9'   │ 1007.42164657    │ 1007.42164657   │
│    9      │ '10'   │ '10'   │ 1008.24966657    │ 1008.24966657   │
│   10      │ '11'   │ '11'   │ 1009.07836714    │ 1009.07836714   │
│   11      │ '12'   │ '12'   │ 1009.90774883    │ 1009.90774883   │
│   12      │ '13'   │ '13'   │ 1010.73781221    │ 1010.73781221   │
│   13      │ '14'   │ '14'   │ 1011.56855783    │ 1011.56855783   │
│   14      │ '15'   │ '15'   │ 1012.39998626    │ 1012.39998626   │
│   15      │ '16'   │ '16'   │ 1013.23209806    │ 1013.23209806   │
│   16      │ '17'   │ '17'   │ 1014.06489379    │ 1014.06489379   │
│   17      │ '18'   │ '18'   │ 1014.89837401    │ 1014.89837401   │
│   18      │ '19'   │ '19'   │ 1015.73253928    │ 1015.73253928   │
│   19      │ '20'   │ '20'   │ 1016.56739017    │ 1016.56739017   │
│   20      │ '21'   │ '21'   │ 1017.40292724    │ 1017.40292724   │
│   21      │ '22'   │ '22'   │ 1018.23915105    │ 1018.23915105   │
│   22      │ '23'   │ '23'   │ 1019.07606217    │ 1019.07606217   │
│   23      │ '24'   │ '24'   │ 1019.91366117    │ 1019.91366117   │
│   24      │ '25'   │ '25'   │ 1020.75194861    │ 1020.75194861   │
│   25      │ '26'   │ '26'   │ 1021.59092505    │ 1021.59092505   │
│   26      │ '27'   │ '27'   │ 1022.43059106    │ 1022.43059106   │
│   27      │ '28'   │ '28'   │ 1023.27094721    │ 1023.27094721   │
│   28      │ '29'   │ '29'   │ 1024.11199407    │ 1024.11199407   │
│   29      │ '---'  │ '---'  │     '---'        │     '---'       │
│   30      │ '30'   │  '0'   │ 1029.9444322     │ 1024.9537322    │
│   31      │ '31'   │  '1'   │ 1030.79096413    │ 1025.79616217   │
│   32      │ '32'   │  '2'   │ 1031.63819184    │ 1026.63928455   │
│   33      │ '33'   │  '3'   │ 1032.4861159     │ 1027.48309991   │
│   34      │ '34'   │  '4'   │ 1033.33473689    │ 1028.32760882   │
│   35      │ '35'   │  '5'   │ 1034.18405538    │ 1029.17281185   │
│   36      │ '36'   │  '6'   │ 1035.03407194    │ 1030.01870957   │
│   37      │ '37'   │  '7'   │ 1035.88478714    │ 1030.86530255   │
│   38      │ '38'   │  '8'   │ 1036.73620156    │ 1031.71259136   │
│   39      │ '39'   │  '9'   │ 1037.58831578    │ 1032.56057657   │
│   40      │ '40'   │ '10'   │ 1038.44113037    │ 1033.40925876   │
│   41      │ '41'   │ '11'   │ 1039.2946459     │ 1034.2586385    │
│   42      │ '42'   │ '12'   │ 1040.14886296    │ 1035.10871636   │
│   43      │ '43'   │ '13'   │ 1041.00378211    │ 1035.95949292   │
│   44      │ '44'   │ '14'   │ 1041.85940394    │ 1036.81096875   │
│   45      │ '45'   │ '15'   │ 1042.71572902    │ 1037.66314442   │
│   46      │ '46'   │ '16'   │ 1043.57275793    │ 1038.51602051   │
│   47      │ '47'   │ '17'   │ 1044.43049125    │ 1039.3695976    │
│   48      │ '48'   │ '18'   │ 1045.28892956    │ 1040.22387626   │
│   49      │ '49'   │ '19'   │ 1046.14807344    │ 1041.07885707   │
│   50      │ '50'   │ '20'   │ 1047.00792346    │ 1041.9345406    │
│   51      │ '51'   │ '21'   │ 1047.86848021    │ 1042.79092744   │
